Title,URL,Author,Price
"[Sponsored]The 5 AM Club: Own Your Morning, Elevate Your Life",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_1?ie=UTF8&adId=A05369281F1LX07TKNZCQ&url=https%3A%2F%2Fwww.amazon.in%2FAM-Club-Your-Morning-Elevate%2Fdp%2F9387944891%2Fref%3Dsr_1_1_sspa%3Fs%3Dbooks%26ie%3DUTF8%26qid%3D1543847841%26sr%3D1-1-spons%26keywords%3Dbooks%26psc%3D1&qualifier=1543847840&id=457096215647801&widgetName=sp_atf,Robin Sharma,  232
[Sponsored]How to Win Friends and Influence People,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_2?ie=UTF8&adId=A0319068SVBEYLLBJCQH&url=https%3A%2F%2Fwww.amazon.in%2FHow-Win-Friends-Influence-People%2Fdp%2F8175993480%2Fref%3Dsr_1_2_sspa%3Fs%3Dbooks%26ie%3DUTF8%26qid%3D1543847841%26sr%3D1-2-spons%26keywords%3Dbooks%26psc%3D1&qualifier=1543847840&id=457096215647801&widgetName=sp_atf,Dale Carnegie,  99
The Girl in Room 105,https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469/ref=sr_1_3?s=books&ie=UTF8&qid=1543847841&sr=1-3&keywords=books,Chetan Bhagat,  122
The Power of your Subconscious Mind,https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962/ref=sr_1_4?s=books&ie=UTF8&qid=1543847841&sr=1-4&keywords=books,Joseph Murphy,  75
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=sr_1_5?s=books&ie=UTF8&qid=1543847841&sr=1-5&keywords=books,Gaur Gopal Das,  180
Think and Grow Rich,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911/ref=sr_1_6?s=books&ie=UTF8&qid=1543847841&sr=1-6&keywords=books,Napoleon Hill,  70
,,,  199
General Knowledge 2019,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307/ref=sr_1_8?s=books&ie=UTF8&qid=1543847841&sr=1-8&keywords=books,Manohar Pandey,  22
The Subtle Art of Not Giving a F*ck,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=sr_1_9?s=books&ie=UTF8&qid=1543847841&sr=1-9&keywords=books,Mark Manson,  338
The Theory of Everything,https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919/ref=sr_1_10?s=books&ie=UTF8&qid=1543847841&sr=1-10&keywords=books,Stephen Hawking,  129
